
id,headline,source,date
1915294,"Trump, allies raise pressure on Senate GOP ahead of impeachment",The Hill,01/25/2021
5947374,"House formally sends impeachment to Senate, putting Trump on trial for Capitol riot",The Hill,01/25/2021
7372969,"McConnell: Power-sharing deal can proceed after Manchin, Sinema back filibuster",The Hill,01/25/2021
824470,Portman planned exit sets off Ohio free-for-all,The Hill,01/25/2021
4305723,Senate confirms Yellen as first female Treasury secretary,The Hill,01/25/2021
6332215,Biden says anyone who wants vaccine may be able to get it by spring,The Hill,01/25/2021
5436631,Manchin vows that he won't vote to kill filibuster 'under any condition',The Hill,01/25/2021
8595350,Biden says Trump's impeachment trial 'has to happen' ,The Hill,01/25/2021
902139,"Leahy, not Roberts, to preside over impeachment trial",The Hill,01/25/2021
3035668,Republicans plan voting overhauls after Biden's win,The Hill,01/25/2021
1573440,Biden says he's open to negotiating income limits for stimulus checks,The Hill,01/25/2021
7234708,Sarah Huckabee Sanders's run for governor an early test for Trump allies,The Hill,01/25/2021
9254887,Collins: Minimum wage increase should be separate from COVID-19 relief package,The Hill,01/25/2021
127571,"Biden keeps COVID-19 travel restrictions for Europe and Brazil, adds South Africa",The Hill,01/25/2021
5109882,Trump establishes 'Office of the Former President' in Florida,The Hill,01/25/2021
9245607,Tim Ryan says he's 'looking seriously' at running for Portman's Senate seat,The Hill,01/25/2021
1710037,GOP lawmaker wants to ban feds from funding collection of COVID-19 vaccine info,The Hill,01/25/2021
438187,Cuomo says New York can begin to loosen restrictions: 'Don't get cocky with COVID',The Hill,01/25/2021
4740003,Dominion Voting Systems files $1.3B defamation suit against Giuliani,The Hill,01/25/2021
9900147,White House commits to sign language interpreter at every press briefing,The Hill,01/25/2021
4415421,In The Know,The Hill,01/25/2021
6105922,Portman retirement sparks calls for LeBron James Senate bid,The Hill,01/25/2021
1623731,Supreme Court dismisses emoluments lawsuits against Trump as moot,The Hill,01/25/2021
8325609,Energy & Environment,The Hill,01/25/2021
9680376,Kerry on climate talks: 'I regret that my country has been absent',The Hill,01/25/2021
4926942,Twitter launches user forum to combat misinformation,The Hill,01/25/2021
9914750,Sirota says health insurers had 'big initial win' in Biden's emergency coronavirus plan,The Hill,01/25/2021
4433885,Taibbi: Declining trust in media result of shift to consuming news as 'entertainment',The Hill,01/25/2021
3980604,Poll: Plurality of voters say coronavirus vaccine rollout slower than expected,The Hill,01/25/2021
850453,What America's Thinking,The Hill,01/25/2021
3342252,Poll: President Biden's first approval rating 63 percent,The Hill,01/25/2021
3378718,Glenn Greenwald warns against media censorship amid concerns over domestic terrorism,The Hill,01/25/2021
1345079,Jilani: Lack of social support from in-person classes damaging students' mental health,The Hill,01/25/2021
3518734,Work on your putt all winter and be ready for the course next spring,The Hill,01/25/2021
8188069,Make the most of your at-home workouts with this compact folding treadmill,The Hill,01/25/2021
4635272,Get over 150 hours of content on all things business from an award-winning business school professor,The Hill,01/25/2021
5239577,Save your daily trip to the coffee shop with this Espresso Machine on sale for just $139,The Hill,01/25/2021
5079311,Learn to paint and draw with this $35 expert-led training bundle,The Hill,01/25/2021
1448398,Get this highly effective mask designed for exercise for just $20,The Hill,01/25/2021
7833755,Build your best resume with this AI-powered software that beats ATS,The Hill,01/25/2021
406486,These are the 11 top programming languages to learn in 2021,The Hill,01/25/2021
8915180,This training bundle covers a huge variety of math topics for only $30,The Hill,01/25/2021
20858,Build up your home gym with this on-sale workout gear,The Hill,01/25/2021
